!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
wwk	Keyboardlayout(WordPerfectforWin)
wwp	WormsWorldPartyTeamsfile
wws	AutoRouteUserInformation
wwv	WildTangentBranded.WAVfile
wxp	Document(EXPforWindows)
wxs	EasyCrosscrosstitchfile
wzg	WZebrafile
wzs	MicrosoftWordwizard
x	DirectXObjectfile
x01	Secondaryindex(Paradox)
x02	Secondaryindex(Paradox)
x03	Secondaryindex(Paradox)
x04	Secondaryindex(Paradox)
x05	Secondaryindex(Paradox)
x06	Secondaryindex(Paradox)
x07	Secondaryindex(Paradox)
x08	Secondaryindex(Paradox)
x09	Secondaryindex(Paradox)
x16	MacromediaProgramExtension(16-bit)
x32	MacromediaProgramExtension(32-bit)
xap	SilverightApplicationPackage
xbel	XMLBookmarkExchangeLanguagefile
xbm	X11Bitmapgraphics
xcf	GimpImagefile
xdf	MilntaAPLTransferFunction
xdw	XWindowsScreenDumpfile
xef	X-GenicseManager-XMLformanddataforeManager
xem	X-GenicseManager-Meteredunits/creditdefinitionfor
xep	X-GenicseManager-Filepackaging/unpackinginformation
xes	X-GenicseManager-XMLdefinitionforUIskins
xet	X-GenicseManager-XMLdefinitionforeManagerprocess
xev	X-GenicseManager-Filedownloaddefinitionfor
xez	X-GenicseManager-TemplatepackageforeManager
xfd	XMLForminXFDLFormat
xfdl	ExtensibleFormsDescriptionLanguagefile
xfn	Printerfont(Xerox4045)(VenturaPublisher)
xft	24pinprinterfont(ChiWriter)
xfx	FaxFile(various)
xhtml	ExtensibleHyperTextMarkupLanguagefile
xi	FastTracker2InstrumentorScreamTrackerInstrumentfile
xif	Wangimagefile
xla	XlibArchive(xlibpas2.zip)
xla	Add-inmacrosheet(MSExcel)
xlb	Data(MSExcel)
xlc	Chartdocument(MSExcel)
xlk	ExcelBackup
xll	ExcelDynamicLinkLibrary(MSExcel)
xlm	Macrosheet(MSExcel)
xlr	MSWorksfile
xls	Spreadsheet(MSWorks)
xlsm	MicrosoftExcelMacro-EnabledWorkbookfile
xlsx	MicrosoftExcelXMLfile
xlt	Template(MSExcel)
xlw	Workbook(MSExcel)
xlx	XoloXIncompleteDownloadfile
xm	Music(FastTracker)
xmi	CompressedeXtendedMIdimusic
xml	ExtensibleMarkupLanguagefile
xmp	ExtensibleMetadataPlatform
xnf	StandardNetworkFileform
xpi	XPInstallFile
xnk	MicrosoftExchangeShortcut
xpl	Musicfile
xpm	X11PixelMapgraphics
xpr	MemorexCD-ROMlabelfile
xps	XMLPaperSpecificationfile
xpt	MozillaFirefoxComponentfile
xpw	LeadingMarketTechnologiesEXPO
xqt	Executablefile(Waffle)
xpv	digitalsurveillancesystem
xrf	Cross-referencefile
xsd	XMLSchemafile
xsf	MilntaAPLTransferFunction
xsl	ExtensibleStylesheetLanguagefile
xspf	XMLShareablePlaylistfile
xss	AbilityOfficeSpreadsheet
xtb	Externaltranslationtable(LocoScript)
xtm	XtremsplitDatafile
xtr	MapToolfile(anadd-onforUI-View)
xul	XMLUserInterfaceLanguagefile
xvb	WinExplorerVBScript
xvid	XvidVideofile
xvl	Compact3Dfileformatforwebapps.(Lattice3D)
xwd	XWindowSystemwindowdumpimagegraphics(SDSCImage
xwk	Keyboardmapping(Crosstalk)
xwp	Session(Crosstalk)
xx	CompressedfileASCIIarchivecreatedbyXXENCODE
xxe	CompressedfileASCIIarchivecreatedbyXXENCODE
xxx	SingerSewingMachineProfessionalSewWarefile
xy	Textfile(XYWrite)
xy3	Textfile(XYWriteIII)
xyw	Textfile(XyWriteIII)
xyz	ASCIIRPGMakerGraphicFormat
xz	XZCompressedArchivefile
y	Yaccgrammarfile
y01	Secondaryindex(Paradox)
y02	Secondaryindex(Paradox)
y03	Secondaryindex(Paradox)
y04	Secondaryindex(Paradox)
y05	Secondaryindex(Paradox)
y06	Secondaryindex(Paradox)
y07	Secondaryindex(Paradox)
y08	Secondaryindex(Paradox)
y09	Secondaryindex(Paradox)
yab	YabasicSourceCodefile
yal	Data(Arts&Letters)
ybk	MicrosoftEncartaYearbookfile
ychat	Yahoo!Messengerchatlog
yenc	yEncfile
ymg	Yahoo!Messengerfile
yml	YAMLfile
ync	yEncEncodedfile
yps	Yahoo!MessengerDatafile
yuv	YUVEncodedImageorVideofile
yz	CompressedfilearchivecreatedbyYAC
yz1	YamazakiZIPPERfile
z	CompressedfileASCIIarchivecreatedbyCOMPRESS
z01	WinzipSplitArchivefile
z02	SplitArchivefile
z1	ZoneAlarmRenamedVBfile
z3	Infocomgamemodule
zap	ZeroAdministrationPackagefile
zbd	CanonZoomBrowserDatabasefile
zdb	ZimbraDatabaseFile
zdb	
zdct	AfterEffectsLanguagefile
zdg	CompressedZiffNettextdocument(Zview)
zdl	DesignProLabelfile
zdp	ZDNetPasswordPro32
zer	Datafile(Zerberus)
zfx	ZFX-CC3FilePackerTool
zgm	Graphics(Zenographics)
zhtml	SecureIEZippedHTMLfile
zi	RenamedZipfile
zif	ZoomingImageFormatfile
zip	ZIPCompressedfilearchive
zipx	WinZipCompressedfile
zix	QuickenDatafile
zl?	ZoneAlarmMailsafeRenamedFile.
zl	ZlibCompressedfile
zls	AtlantisOceanMindWordProcessingfile
zmc	ZoneAlarmMailsafe
zom	CompressedAmigafilearchivecreatedbyZOOM
zon	GrandTheftAuto3Zonefile
zoo	CompressedfilearchivecreatedbyZOO(zoo210.exe)
zpk	ZFirmPackagefile
zpl	CreativeZenMicroplaylist
zst	ZSNESSlot0Savestate
ztd	ZiffDavisMediatextdatabase
zvd	ZyxelVoicefile(Z-Fax)
zvz	PossibleVirusfile
zxp	ExtensionManagerPackage
zz	ZzipCompressedArchivefile
zzt	ZZTGameCreationSystem
